iter	Passed	Remaining
0	133	133263
1	134	67063
2	135	44974
3	136	33918
4	137	27272
5	137	22860
6	138	19690
7	139	17328
8	140	15489
9	141	14031
10	142	12840
11	143	11832
12	144	10982
13	145	10247
14	146	9630
15	147	9086
16	148	8595
17	149	8151
18	150	7762
19	151	7412
20	152	7093
21	153	6808
22	154	6547
23	155	6307
24	156	6084
25	156	5877
26	157	5687
27	158	5512
28	159	5347
29	160	5201
30	161	5060
31	162	4921
32	163	4793
33	164	4672
34	165	4564
35	166	4459
36	167	4357
37	168	4263
38	169	4170
39	170	4082
40	170	3997
41	171	3923
42	172	3845
43	173	3772
44	174	3701
45	175	3634
46	176	3570
47	177	3511
48	177	3454
49	178	3399
50	179	3344
51	180	3292
52	181	3241
53	182	3193
54	183	3149
55	184	3104
56	185	3065
57	186	3024
58	187	2983
59	187	2944
60	188	2908
61	189	2872
62	190	2837
63	191	2803
64	192	2769
65	193	2736
66	194	2707
67	195	2677
68	196	2648
69	197	2620
70	198	2591
71	199	2564
72	199	2538
73	200	2513
74	201	2489
75	202	2464
76	203	2439
77	204	2415
78	205	2392
79	206	2370
80	207	2350
81	208	2329
82	208	2304
83	209	2284
84	210	2263
85	211	2243
86	211	2224
87	212	2206
88	213	2188
89	214	2170
90	215	2154
91	216	2136
92	217	2119
93	218	2102
94	219	2086
95	219	2070
96	220	2055
97	221	2042
98	222	2027
99	223	2012
100	224	1997
101	225	1983
102	226	1968
103	227	1956
104	227	1943
105	228	1929
106	229	1916
107	230	1904
108	231	1891
109	232	1879
110	233	1868
111	234	1857
112	235	1845
113	236	1834
114	236	1823
115	237	1812
116	238	1800
117	239	1789
118	240	1779
119	241	1769
120	242	1758
121	242	1747
122	243	1737
123	244	1727
124	245	1718
125	246	1709
126	247	1698
127	248	1689
128	248	1680
129	249	1671
130	250	1662
131	251	1653
132	252	1645
133	253	1637
134	254	1629
135	255	1620
136	255	1612
137	256	1604
138	257	1597
139	258	1589
140	259	1582
141	260	1572
142	261	1564
143	261	1557
144	262	1550
145	263	1543
146	264	1536
147	265	1529
148	266	1521
149	267	1515
150	268	1508
151	269	1502
152	270	1495
153	271	1489
154	272	1482
155	272	1476
156	273	1470
157	274	1463
158	275	1457
159	276	1451
160	277	1444
161	277	1437
162	278	1431
163	279	1425
164	280	1419
165	281	1414
166	282	1409
167	283	1404
168	284	1399
169	285	1393
170	286	1387
171	287	1382
172	288	1376
173	288	1371
174	289	1366
175	290	1361
176	291	1356
177	292	1350
178	293	1345
179	294	1340
180	295	1335
181	296	1330
182	296	1325
183	297	1321
184	298	1316
185	299	1311
186	300	1307
187	301	1302
188	302	1298
189	303	1294
190	304	1289
191	305	1284
192	306	1280
193	307	1276
194	308	1271
195	309	1267
196	309	1263
197	310	1259
198	311	1254
199	312	1250
200	313	1246
201	314	1243
202	315	1238
203	316	1234
204	317	1230
205	318	1226
206	318	1221
207	319	1217
208	320	1213
209	321	1209
210	322	1205
211	323	1202
212	324	1198
213	325	1194
214	325	1190
215	326	1186
216	327	1183
217	328	1179
218	329	1175
219	330	1171
220	331	1167
221	332	1164
222	333	1160
223	334	1157
224	334	1153
225	335	1150
226	336	1146
227	337	1143
228	338	1140
229	339	1136
230	340	1133
231	341	1130
232	342	1126
233	343	1123
234	343	1119
235	344	1116
236	345	1113
237	346	1109
238	347	1106
239	348	1103
240	349	1099
241	350	1096
242	350	1093
243	351	1089
244	352	1086
245	353	1083
246	354	1080
247	355	1077
248	356	1074
249	356	1070
250	357	1068
251	358	1065
252	359	1062
253	360	1059
254	361	1056
255	362	1053
256	363	1049
257	364	1047
258	364	1044
259	365	1041
260	366	1038
261	367	1035
262	368	1032
263	369	1029
264	370	1027
265	371	1024
266	372	1021
267	372	1018
268	373	1015
269	374	1012
270	375	1010
271	376	1007
272	377	1004
273	378	1002
274	378	999
275	379	996
276	380	993
277	381	991
278	382	988
279	383	986
280	384	983
281	385	981
282	386	978
283	387	975
284	387	973
285	388	970
286	389	968
287	390	965
288	391	963
289	392	961
290	393	958
291	394	955
292	395	953
293	396	951
294	397	949
295	398	946
296	398	944
297	399	941
298	400	939
299	401	937
300	402	934
301	403	932
302	404	930
303	405	927
304	406	925
305	406	922
306	407	920
307	408	918
308	409	916
309	410	914
310	411	911
311	412	909
312	413	907
313	414	905
314	415	903
315	416	900
316	417	898
317	417	896
318	418	893
319	419	891
320	420	889
321	421	887
322	422	885
323	423	882
324	423	880
325	424	878
326	425	876
327	426	874
328	427	872
329	428	869
330	429	867
331	430	865
332	431	863
333	431	861
334	432	859
335	433	857
336	434	854
337	435	852
338	436	850
339	437	848
340	437	846
341	438	844
342	439	842
343	440	840
344	441	838
345	442	836
346	443	834
347	444	832
348	445	830
349	446	828
350	447	826
351	447	824
352	448	822
353	449	820
354	450	818
355	451	816
356	452	814
357	453	812
358	454	810
359	454	808
360	455	806
361	456	804
362	457	803
363	458	801
364	459	799
365	460	797
366	461	795
367	462	793
368	462	791
369	463	789
370	464	788
371	465	786
372	466	784
373	467	783
374	468	781
375	469	779
376	470	777
377	471	775
378	472	773
379	473	771
380	473	770
381	474	768
382	475	766
383	476	764
384	477	762
385	478	761
386	479	759
387	480	757
388	481	755
389	482	754
390	483	752
391	483	750
392	484	748
393	485	747
394	486	745
395	487	743
396	488	741
397	489	740
398	490	738
399	491	736
400	492	735
401	492	733
402	493	731
403	494	729
404	495	728
405	496	726
406	497	724
407	498	723
408	499	721
409	500	719
410	500	717
411	502	716
412	502	714
413	503	713
414	504	711
415	505	709
416	506	708
417	507	706
418	508	705
419	509	703
420	510	702
421	511	701
422	512	699
423	513	698
424	515	696
425	515	695
426	516	693
427	517	691
428	518	690
429	519	688
430	520	687
431	521	686
432	522	684
433	523	683
434	524	681
435	525	679
436	526	678
437	527	677
438	528	675
439	529	674
440	530	672
441	531	671
442	532	669
443	533	668
444	534	667
445	535	665
446	536	663
447	537	662
448	538	660
449	539	659
450	540	658
451	541	656
452	542	655
453	543	653
454	544	652
455	545	650
456	546	649
457	547	648
458	548	646
459	549	644
460	550	643
461	551	641
462	552	640
463	553	639
464	554	637
465	554	635
466	555	634
467	556	632
468	557	631
469	558	630
470	559	628
471	560	627
472	561	625
473	562	624
474	563	622
475	564	621
476	565	619
477	566	618
478	567	616
479	568	615
480	568	613
481	569	612
482	570	611
483	571	609
484	572	608
485	573	606
486	574	605
487	575	603
488	576	602
489	577	601
490	578	599
491	579	598
492	580	596
493	581	595
494	582	593
495	583	592
496	583	591
497	584	589
498	585	588
499	586	586
500	587	585
501	588	583
502	589	582
503	590	580
504	591	579
505	592	578
506	593	576
507	593	575
508	594	573
509	595	572
510	596	571
511	597	569
512	598	568
513	599	566
514	600	565
515	601	564
516	602	562
517	603	561
518	604	559
519	605	558
520	606	557
521	606	555
522	607	554
523	609	553
524	610	552
525	611	550
526	611	549
527	612	547
528	613	546
529	614	545
530	615	543
531	616	542
532	617	541
533	618	540
534	620	538
535	620	537
536	621	536
537	622	534
538	623	533
539	624	532
540	625	530
541	626	529
542	627	528
543	628	526
544	629	525
545	630	523
546	630	522
547	631	521
548	632	519
549	633	518
550	634	517
551	635	516
552	637	515
553	638	513
554	639	512
555	640	511
556	641	509
557	641	508
558	642	507
559	643	505
560	644	504
561	645	503
562	646	502
563	647	500
564	648	499
565	649	498
566	650	496
567	651	495
568	652	494
569	653	492
570	654	491
571	655	490
572	655	488
573	656	487
574	657	486
575	658	484
576	659	483
577	660	482
578	661	480
579	662	479
580	662	478
581	663	476
582	664	475
583	665	474
584	666	472
585	667	471
586	668	470
587	669	468
588	670	467
589	670	466
590	671	464
591	672	463
592	673	462
593	674	461
594	675	459
595	676	458
596	677	457
597	678	456
598	679	454
599	680	453
600	681	452
601	681	450
602	683	449
603	683	448
604	684	447
605	685	445
606	686	444
607	687	443
608	688	441
609	689	440
610	689	439
611	690	437
612	691	436
613	692	435
614	693	434
615	694	432
616	695	431
617	696	430
618	697	429
619	697	427
620	698	426
621	699	425
622	700	423
623	701	422
624	702	421
625	703	420
626	704	418
627	705	417
628	705	416
629	706	415
630	707	413
631	708	412
632	709	411
633	710	410
634	711	408
635	712	407
636	713	406
637	714	405
638	715	404
639	716	402
640	717	401
641	718	400
642	718	399
643	719	397
644	720	396
645	721	395
646	722	394
647	723	392
648	724	391
649	725	390
650	726	389
651	727	388
652	728	387
653	729	385
654	730	384
655	731	383
656	731	382
657	732	380
658	733	379
659	734	378
660	735	377
661	736	375
662	737	374
663	738	373
664	739	372
665	739	371
666	740	369
667	741	368
668	742	367
669	743	366
670	744	364
671	745	363
672	745	362
673	746	361
674	747	360
675	748	358
676	749	357
677	750	356
678	751	355
679	752	354
680	753	353
681	754	351
682	755	350
683	756	349
684	757	348
685	758	347
686	759	345
687	760	344
688	761	343
689	762	342
690	762	341
691	764	340
692	765	338
693	766	337
694	767	336
695	767	335
696	768	334
697	769	333
698	770	331
699	771	330
700	772	329
701	773	328
702	774	327
703	775	326
704	776	324
705	777	323
706	778	322
707	780	321
708	780	320
709	781	319
710	782	318
711	783	317
712	784	315
713	785	314
714	786	313
715	787	312
716	788	311
717	789	309
718	789	308
719	790	307
720	791	306
721	792	305
722	793	304
723	794	302
724	795	301
725	796	300
726	797	299
727	798	298
728	798	296
729	799	295
730	800	294
731	801	293
732	802	292
733	803	291
734	803	289
735	804	288
736	805	287
737	806	286
738	807	285
739	808	283
740	809	282
741	809	281
742	810	280
743	811	279
744	812	278
745	813	276
746	814	275
747	815	274
748	816	273
749	817	272
750	817	271
751	818	270
752	819	268
753	820	267
754	821	266
755	822	265
756	823	264
757	824	263
758	825	261
759	825	260
760	827	259
761	827	258
762	828	257
763	829	256
764	830	255
765	831	254
766	832	252
767	833	251
768	834	250
769	835	249
770	836	248
771	836	247
772	837	246
773	838	244
774	839	243
775	840	242
776	841	241
777	842	240
778	842	239
779	843	238
780	844	236
781	845	235
782	846	234
783	847	233
784	848	232
785	849	231
786	850	230
787	851	229
788	852	227
789	853	226
790	853	225
791	854	224
792	855	223
793	856	222
794	857	221
795	858	219
796	859	218
797	860	217
798	860	216
799	861	215
800	862	214
801	863	213
802	864	212
803	865	210
804	866	209
805	866	208
806	867	207
807	868	206
808	869	205
809	870	204
810	871	203
811	872	201
812	873	200
813	874	199
814	875	198
815	875	197
816	876	196
817	877	195
818	878	194
819	879	193
820	880	192
821	881	190
822	882	189
823	883	188
824	884	187
825	885	186
826	886	185
827	887	184
828	887	183
829	889	182
830	889	180
831	890	179
832	891	178
833	892	177
834	893	176
835	894	175
836	895	174
837	896	173
838	897	172
839	898	171
840	899	170
841	900	168
842	901	167
843	902	166
844	903	165
845	904	164
846	904	163
847	905	162
848	906	161
849	907	160
850	908	159
851	909	158
852	910	156
853	911	155
854	912	154
855	913	153
856	914	152
857	915	151
858	916	150
859	917	149
860	918	148
861	919	147
862	920	146
863	921	145
864	922	143
865	923	142
866	923	141
867	924	140
868	925	139
869	926	138
870	927	137
871	928	136
872	929	135
873	930	134
874	931	133
875	932	131
876	933	130
877	934	129
878	935	128
879	936	127
880	937	126
881	938	125
882	939	124
883	940	123
884	941	122
885	942	121
886	943	120
887	943	119
888	944	117
889	945	116
890	946	115
891	947	114
892	948	113
893	949	112
894	950	111
895	951	110
896	953	109
897	954	108
898	955	107
899	956	106
900	956	105
901	958	104
902	959	103
903	960	101
904	960	100
905	961	99
906	962	98
907	963	97
908	965	96
909	966	95
910	966	94
911	967	93
912	968	92
913	969	91
914	970	90
915	971	89
916	972	88
917	973	86
918	974	85
919	975	84
920	976	83
921	978	82
922	978	81
923	979	80
924	980	79
925	981	78
926	982	77
927	983	76
928	984	75
929	985	74
930	986	73
931	987	72
932	988	70
933	989	69
934	990	68
935	991	67
936	992	66
937	993	65
938	994	64
939	994	63
940	995	62
941	997	61
942	998	60
943	998	59
944	999	58
945	1000	57
946	1001	56
947	1002	55
948	1003	53
949	1004	52
950	1005	51
951	1006	50
952	1007	49
953	1008	48
954	1009	47
955	1010	46
956	1011	45
957	1012	44
958	1013	43
959	1013	42
960	1014	41
961	1015	40
962	1016	39
963	1017	38
964	1018	36
965	1019	35
966	1020	34
967	1021	33
968	1022	32
969	1023	31
970	1024	30
971	1024	29
972	1025	28
973	1026	27
974	1027	26
975	1028	25
976	1029	24
977	1030	23
978	1031	22
979	1032	21
980	1033	20
981	1034	18
982	1035	17
983	1036	16
984	1037	15
985	1038	14
986	1039	13
987	1040	12
988	1041	11
989	1042	10
990	1043	9
991	1044	8
992	1045	7
993	1047	6
994	1049	5
995	1050	4
996	1052	3
997	1053	2
998	1054	1
999	1056	0
